label,review,compound,scores,comp_score
neg,worst  complete  waste  time  typographical  errors  poor  grammar  totally  pathetic  plot  add  absolutely  nothing  I  embarrassed  author  disappointed  actually  paid  book,-0.9525,"{'neg': 0.543, 'neu': 0.39, 'pos': 0.066, 'compound': -0.9525}",the review is negative
pos,great  book  great  booki  could  put  downand  could  read  fast  enough  boy  book  twist  turns  keeps  guessing  wanting  know  going  happen  next  book  makes  fall  love  heat  upit  also  make  angery  book  make  go  throu  several  emotions  quick  read  romance  something  want  end  day  read  night,0.9538,"{'neg': 0.0, 'neu': 0.703, 'pos': 0.297, 'compound': 0.9538}",the review is positive
pos,great  read  thought  book  brilliant  yet  realistic  showed  error  human  loved  fact  writer  showed  loving  side  god  revengeful  side  loved  twisted  turned  could  put  also  loved  glass  castle,0.9661,"{'neg': 0.12, 'neu': 0.375, 'pos': 0.505, 'compound': 0.9661}",the review is positive
neg,oh  please  guess  romance  novel  lover  one  discerning  one  others  beware  absolute  drivel  figured  trouble  typo  prominently  featured  back  cover  first  page  book  removed  doubt  wait  maybe  I  missing  point  quick  reread  beginning  makes  clear  intentional  churning  overheated  prose  satiric  purposes  phew  glad  waste  1095,0.8126,"{'neg': 0.162, 'neu': 0.557, 'pos': 0.28, 'compound': 0.8126}",the review is positive
neg,awful  beyond  belief  feel  write  keep  others  wasting  money  book  seems  written  7th  grader  poor  grammatical  skills  age  another  reviewer  points  misspelling  cover  believe  least  one  per  chapter  example  mentioned  twice  lean  house  distracted  poor  writing  weak  plot  decided  read  pencil  hand  mark  horrible  grammar  spelling  please  waste  money  believe  good  reviews  must  written  authors  relatives  put  much  faith  reviews,-0.9062,"{'neg': 0.284, 'neu': 0.58, 'pos': 0.135, 'compound': -0.9062}",the review is negative
neg,try  fool  us  fake  reviews  glaringly  obvious  glowing  reviews  written  person  perhaps  author  misspellings  poor  sentence  structure  featured  book  made  veronica  haddon  think  author,-0.8316,"{'neg': 0.299, 'neu': 0.658, 'pos': 0.043, 'compound': -0.8316}",the review is negative
pos,romantic  zen  baseball  comedy  hear  folks  say  make  like  anymore  might  talking  sea  cool  story  young  cuban  girl  searching  idenity  stumbles  coastal  resort  kitchen  gig  zen  motorcycle  maintenance  man  three  hysterical  italian  chefs  latino  fireballing  right  handed  pitcher  plays  team  sponsored  resorts  owner  often  case  finds  honest  often  comical  always  emotional  interaction  sizzling  roster  players  perfect  mix  special  effects  salsa  sound  flashbacks  sea  gets  4  big  stars,0.9648,"{'neg': 0.014, 'neu': 0.7, 'pos': 0.286, 'compound': 0.9648}",the review is positive
pos,fashionable  compression  stockings  dvt  doctor  required  wear  compression  stockings  wore  ugly  white  ted  hose  yucky  thick  brown  stockings  found  jobst  ultrasheer  gave  compression  needed  1520  looked  like  regular  pantyhose  even  though  blood  clot  gone  4  years  still  buy  wear  support  stockings  make  legs  feel  nicenote  problems  rubberized  tops  rolling  thigh  tried  jobst  adhesive  hated  skin  pulled  day  bought  inexpensive  garter  belt  works  fine  helps  keep  stockings  rolling,-0.2732,"{'neg': 0.155, 'neu': 0.691, 'pos': 0.154, 'compound': -0.2732}",the review is negative
pos,jobst  ultrasheer  thigh  high  excellent  product  however  difficult  get  older  people  feel  like  I  full  day  workout  getting  also  day  wears  begin  roll  top  create  deep  ridge  skin  wear  two  difficulties  could  addressed  would  help,0.7964,"{'neg': 0.103, 'neu': 0.615, 'pos': 0.281, 'compound': 0.7964}",the review is positive
neg,sizes  recomended  size  chart  real  sizes  much  smaller  recomended  chart  tried  put  sheer  guess  buy  item  internetit  better  go  store  check,0.4404,"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.4404}",the review is positive
neg,mens  ultrasheer  model  may  ok  sedentary  types  I  active  get  around  alot  job  consistently  found  stockings  rolled  ankles  good  solution  go  standard  compression  stocking  2030  stock  114622  excellent  support  stays  gives  need  pair  also  tore  struggled  pull  time  good  riddancebad  investment,0.9432,"{'neg': 0.044, 'neu': 0.602, 'pos': 0.354, 'compound': 0.9432}",the review is positive
pos,delicious  cookie  mix  thought  funny  bought  product  without  knowing  mix  read  header  quickly  thought  packaged  cookies  cookie  mix  guess  noticed  since  right  titlethis  first  time  ever  tried  baking  cookie  mix  used  convenience  cookie  dough  buy  wrapped  plastic  logs  might  bit  surprise  mixing  dough  get  messy  extremely  sticky  however  cookie  mix  like  lot  flexibility  ratio  ingredients  like  add  extra  butter  make  baked  cookies  chewy  also  mix  really  large  chocolate  chips  iti  love  thati  removed  star  addition  natural  flavors  mix,0.9601,"{'neg': 0.027, 'neu': 0.732, 'pos': 0.242, 'compound': 0.9601}",the review is positive
neg,another  abysmal  digital  copy  rather  scratches  insect  droppings  one  random  pixelations  combined  muddy  light  vague  image  resolution  probably  cue  packaging  straight  street  corner  bootleg  dealerif  ever  seen  reasonably  good  condition  film  copy  know  defining  visuals  film  crystal  clear  lighting  contrasts  black  white  surrounding  countryside  old  home  scenes  set  early  morning  ground  mists  haze  memory  events  bridge  water  bright  clear  immediatehere  everything  dull  dark  clouded  remember  timbre  enunciation  captains  commands  visualsafter  hard  believe  award  winning  critically  acclaimed  films  best  presentation  youtube  somewhere  dvd  comes  standard  16mm  public  library  reeljust  none  appear  amazon,0.957,"{'neg': 0.075, 'neu': 0.708, 'pos': 0.218, 'compound': 0.957}",the review is positive
pos,fascinating  insight  life  modern  japanese  teens  thoroughly  enjoyed  rising  sons  daughters  know  book  looks  japanese  society  point  view  young  people  poised  parents  ageold  japanese  culture  restraint  obedience  community  peers  adulation  western  culture  true  form  new  young  japan  seem  creating  international  blend  ando  family  demonstrates  beautifully  written  book  vignettes  private  lives  members  family  steven  wardell  clearly  talented  young  author  adopted  schooling  family  four  teens  thus  able  view  family  life  japan  inside  great  read,0.9796,"{'neg': 0.0, 'neu': 0.693, 'pos': 0.307, 'compound': 0.9796}",the review is positive
pos,liked  album  thought  would  heard  song  two  thought  obut  listened  songs  like  blue  angellanna  mama  hair  rose  neckroy  trully  amazing  singer  talent  find  much  days,0.8979,"{'neg': 0.0, 'neu': 0.638, 'pos': 0.362, 'compound': 0.8979}",the review is positive
neg,problem  charging  smaller  aaas  charger  two  years  charges  aa  batteries  fine  huge  problem  securing  smaller  aaa  batteries  charge  smaller  batteries  need  flip  little  button  positive  end  beginning  one  four  aaa  batteries  would  pop  three  four  hold  problem  flip  mechanism  became  loose  horizontal  pressure  would  push  buttons  back  using  duct  tape  segment  crayon  apply  crayon  buttons  wrap  tape  around  know  painful,-0.7832,"{'neg': 0.231, 'neu': 0.642, 'pos': 0.127, 'compound': -0.7832}",the review is negative
neg,works  advertised  bought  one  chargersthe  instructions  say  lights  stay  battery  chargestrue  instructions  say  lights  turn  done  also  true  24  hours  charging  lights  stay  returned  thinking  bad  unitthe  new  one  thing  kept  since  chargebut  lights  useless  since  seem  always  stay  backup  charger  manage  drain  aas  would  want  charger,0.0772,"{'neg': 0.113, 'neu': 0.751, 'pos': 0.136, 'compound': 0.0772}",the review is positive
neg,disappointed  read  reviewsmade  purchase  disappointed  charger  convenient  charging  four  batteries  charge  lasts  short  time  go  find  batteries  give  longer  life  kodak  nimh  aa  batteries,-0.7351,"{'neg': 0.22, 'neu': 0.78, 'pos': 0.0, 'compound': -0.7351}",the review is negative
neg,oh  dear  excited  find  book  ostensibly  muslim  feminism  volume  live  expectationsone  essay  among  things  describes  veil  potentially  liberating  begin  explain  whyanother  muslim  women  cape  town  claims  muslim  women  separate  equal  gee  whiz  disappointmenti  expected  hoped  least  one  muslim  feminist  condemnation  gender  apartheid  single  one  bookI  surprised  essay  extolling  virtues  female  genital  mutilationalyssa  lappen,0.7351,"{'neg': 0.061, 'neu': 0.748, 'pos': 0.191, 'compound': 0.7351}",the review is positive
pos,based  reviews  bought  one  I  glad  vcrdvd  early  christmas  present  deciding  join  rest  world  dvdland  wanting  let  go  vhs  movies  quite  yet  based  reviews  price  jvc  tv  choice  agree  easy  setup  bit  awkward  work  whole  tvvhsdvd  selection  options  think  I  gotten  hang  ittwo  comments  intuitive  actually  pretty  complicated  many  buttons  remote  might  please  others  technicallyminded  I  rely  heavily  howto  manual  setting  vcr  timer  awkward  enter  start  end  time  scroll  unless  I  missing  somethingbut  complaints  good  product,0.8979,"{'neg': 0.088, 'neu': 0.706, 'pos': 0.206, 'compound': 0.8979}",the review is positive
neg,incorrect  disc  big  jvc  fan  like  model  suspiscious  saw  several  units  return  section  store  bought  one  anyway  new  must  say  happy  unit  sends  clicks  receiver  transition  scenes  always  smoothlike  little  pause  still  fairly  new  get  dvdcd  even  dvd  headcleaner  work  get  incorrect  disc  message,0.8176,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.8176}",the review is positive
pos,happy  itbut  I  jvc  nuti  3  jvc  televisions  one  vcr  one  bookshelf  audio  system  car  audio  system  came  time  move  vcr  player  boys  room  get  another  one  old  man  knew  make  going  decided  combo  player  think  vhs  going  around  much  longer  like  combo  player  except  2  things1no  cable  box  compatability  remote  control  2no  seperate  audio  video  inputs  input  coax  cable  cable  box  cable  programming  monowife  tell  difference  sound  happy  I  live  vcr  dvd  look  sound  great,0.9325,"{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.9325}",the review is positive
neg,titled  hollywood  debacle  plot  ridiculous  wonder  even  read  script  making  film  mountain  lion  breaks  trailer  cars  behind  notice  mountain  lion  captured  put  jail  cell  get  real  utterly  completely  stupid,-0.7559,"{'neg': 0.193, 'neu': 0.807, 'pos': 0.0, 'compound': -0.7559}",the review is negative
pos,great  tv  bet  hotel  babylon  good  tvit  great  tv  show  features  incredible  acting  tamzin  outhwaite  formerly  eastenders  bbc  soap  max  beesley  illfated  movie  glitter  starring  mariah  carey  show  could  make  great  drama  series  felt  mix  drama  comedy  soap  opera  mixed  great  bbc  show  show  aired  bbc  america  get  around  seeing  say  got  dvd  set  episodes  great  season  finale  interesting  watchthe  show  reminds  hotel  aired  abc  1983  1988  reasonhotel  set  fictional  san  francisco  hotel  hotel  babylon  set  luxury  fivestar  hotel  englandi  recommend  dvd  anyone  willing  watch  great  show  bbc,0.9884,"{'neg': 0.0, 'neu': 0.689, 'pos': 0.311, 'compound': 0.9884}",the review is positive
neg,nothing  already  know  even  casually  looked  applying  law  school  already  read  everything  book  waste  money  seriously,-0.4215,"{'neg': 0.234, 'neu': 0.677, 'pos': 0.089, 'compound': -0.4215}",the review is negative
neg,unfortunately  entertaining  least  bit  first  ordered  cd  figured  going  hip  cool  daddy  vibe  cd  however  much  dismay  sounds  like  fourth  grade  music  class  main  jist  cd  xylaphone  playing  peoples  voices  trying  replicate  happening  party  believe  played  cd  party  anywhere  neighborhood  would  get  laughed  beach  growing  surfer  san  diego  would  recommend  cd  southern  california  brothers  honestly  played  kinda  felt  bad  b  movie  absolutle  epitimy  cd  last  vibe  surf  cha  cha  surfers  cha,0.9551,"{'neg': 0.089, 'neu': 0.594, 'pos': 0.317, 'compound': 0.9551}",the review is positive
pos,rochelle  explains  wondering  hell  happened  moral  aspect  modern  american  culture  book  lucid  well  argued  explanation  simple  fact  become  totally  focused  individual  rights  completely  ignored  even  mocked  personal  public  responsibilities  final  response  indictment  robert  ringers  best  seller  looking  1  great  time  anyone  disgusted  boorish  state  american  media  politics  discourse  general  clear  heads  substantial  challenges  lie  us  americans  human  beings  great  book,0.7533,"{'neg': 0.183, 'neu': 0.548, 'pos': 0.269, 'compound': 0.7533}",the review is positive
pos,great  playing  larrys  work  muse  label  late  80s  early  90s  found  exploring  rich  catalog  jazz  standards  probably  grew  playing  surrounding  best  musicians  around  larry  sounds  relaxed  focused  totally  control  listen  larrys  take  funny  valentine  tell  stand  right  chet  bakers  miles  fine  album  enjoy,0.9803,"{'neg': 0.0, 'neu': 0.531, 'pos': 0.469, 'compound': 0.9803}",the review is positive
neg,work  mac  clearly  says  line  work  mac  os  system  disk  comes  windows  order  mac,0.4019,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4019}",the review is positive
neg,frustrating  three  year  old  son  excited  get  two  attempts  playing  touched  since  able  use  mouse  games  except  powerup  segments  instead  using  updown  arrows  keyboard  hard  much  fun  disapointed  game  wish  could  return,0.7096,"{'neg': 0.106, 'neu': 0.642, 'pos': 0.252, 'compound': 0.7096}",the review is positive
neg,mind  numbing  game  makes  things  never  holds  sons  attention  long  enough  get  next  level  choice  games  every  thing  order  another  rescue  heroes  game  boys  3  6  love  one  dog,0.8658,"{'neg': 0.055, 'neu': 0.66, 'pos': 0.285, 'compound': 0.8658}",the review is positive
neg,cannot  recommend  former  alaskan  want  repeatedly  attempting  allmans  recipes  throw  810  cups  flour  miscellaneous  ingredients  nearly  every  timeand  comparing  ed  woods  recipes  work  flawlessly  lisa  rayners  excellent  wild  bread  handbaked  sourdough  artisan  breads  kitchen  help  notice  recipes  work  allmans  failI  novice  baker  thing  worked  reliably  pancakes  recipe  found  places  wellif  looking  reliable  recipes  concise  information  starting  sourdough  maintaining  recommend  ed  woods  books  even  old  ones  lisa  rayner  written  fabulous  tome  wild  bread  pass  bookwhile  historical  vignettes  interestingnot  enough  warrant  cost  book  check  library  must,0.906,"{'neg': 0.022, 'neu': 0.815, 'pos': 0.163, 'compound': 0.906}",the review is positive
pos,alaska  sourdough  read  book  visiting  brother  alaska  loved  going  making  sourdough  starter  soon  book  full  great  stories  recipes,0.8402,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.8402}",the review is positive
pos,old  good  book  worth  keep  collection  advise  sourdough  ruth  also  told  picture  past  100  years  ago  alaska  stand  mixer  civilized  stuffs  kitchen  pot  sourdough,0.5859,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.5859}",the review is positive
pos,autumn  got  daughter  nc  making  prefect  bread  wish  lived  closer  make,0.4019,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}",the review is positive
pos,fast  mp3  download  music  waxed  decades  ago  one  26  songs  played  background  music  youtube  video  kind  gymnastic  dance  feat  russia  hunted  melody  read  english  lyrics  decided  see  else  album  downloaded  full  album  15  via  amazon  mp3  downloader  happily  listen  melodies  interspersed  ipod,0.8779,"{'neg': 0.0, 'neu': 0.774, 'pos': 0.226, 'compound': 0.8779}",the review is positive
neg,maybe  got  bad  one  experience  got  fm  amazon  dvd  player  rattled  pretty  loudly  sometimes  always  put  dvd  tried  several  picture  quality  great  screen  got  horizontal  line  thru  middle  short  time  would  go  away  plus  one  reviewers  dead  remote  layout  makes  sense  poor  human  engineering  imo  brought  back  store  refund  saw  model  emerson  name  400  wm  hesitant  buy,-0.5994,"{'neg': 0.179, 'neu': 0.695, 'pos': 0.125, 'compound': -0.5994}",the review is negative
pos,sylvania  6620ldg  20  flat  panel  lcd  tv  built  dvd  player  light  weight  space  saving  attractive  design  sharp  picture  good  sound  quality  quick  response  time  dvd  playback  also  excellent  negative  remote  control  hard  read  functions  keys  due  color  choices  placement  keys  almost  illogical  look  carefully  use  almost  seems  like  designed  imbecil  quality  features  price  still  makes  tv  excellent  buy,0.89,"{'neg': 0.071, 'neu': 0.697, 'pos': 0.232, 'compound': 0.89}",the review is positive
neg,terrible  buy  bought  wife  birthdayand  toreturn  dvd  palyer  would  work  returned  got  repalcement  dvd  player  failed  work  piece  junk,-0.7506,"{'neg': 0.274, 'neu': 0.726, 'pos': 0.0, 'compound': -0.7506}",the review is negative
neg,beware  tv  set  capable  recall  function  want  flash  back  channels  tv  going  give  remote  control  comes  tv  recall  function  bought  sony  universal  much  better  remote  recall  button  however  soon  learned  tv  set  factory  capability  flashback  may  big  deal  user  found  annoying,0.4767,"{'neg': 0.058, 'neu': 0.796, 'pos': 0.146, 'compound': 0.4767}",the review is positive
pos,kitchen  tv  bought  replace  13  tube  tv  kitchen  gained  larger  screen  plus  relcaiming  counter  space  picture  good  internal  dvd  player  bonus  good  purchase,0.8979,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.8979}",the review is positive
pos,nice  money  first  one  bought  defective  dvd  work  purchased  electronics  express  contacted  wonderful  gave  rma  number  right  away  fedex  picked  next  day  new  one  arrived  1  week  later  one  fine  really  love  clarity  picture  complaint  dvd  mode  sound  loud  enough  rv  ac  running  barely  hear  solved  problem  running  audio  jack  tv  input  rv  stereo  speaker  system  lightweight  easy  move  around  store  bonus  rv  remote  great  works  fine  videoaudio  jacks  antenna  input  easy  get  dvd  player  great  deal  price,0.9829,"{'neg': 0.07, 'neu': 0.576, 'pos': 0.355, 'compound': 0.9829}",the review is positive
neg,disappointed  romanian  book  opinion  biased  takes  angle  europe  clean  proper  fails  would  light  rest  understand  tourist  guides  would  anyone  want  tour  country  forgotten  time  however  disappointed  romanian  book  would  never  use  reference  seen  travel  guides  outlining  europe  exclude  romania  precision  detail  dks  series  left  yet  disappointment,-0.9217,"{'neg': 0.307, 'neu': 0.625, 'pos': 0.068, 'compound': -0.9217}",the review is negative
pos,great  travel  guide  europe  book  realy  great  everybody  likes  travel  europe  combination  good  pictures  illustration  texts  perfect  get  good  overall  view  important  sights  places  cities  countries  europe  also  bit  historical  information  european  already  traveled  bit  still  could  find  lot  inspiration  interesting  places  go  thank  lot  eyewitness  travel  great  books,0.9872,"{'neg': 0.0, 'neu': 0.521, 'pos': 0.479, 'compound': 0.9872}",the review is positive
neg,best  bought  lonely  planet  used  lonely  planet  book  full  pictures  give  info  need  also  ended  buying  indiv  city  guide  well  one  scratches  surface,0.3182,"{'neg': 0.165, 'neu': 0.627, 'pos': 0.208, 'compound': 0.3182}",the review is positive
pos,good  received  defective  book  bought  book  moving  germany  wanted  get  good  overview  countries  europe  could  travel  unfortunately  pages  457480  greece  english  looks  spanish  sort  printing  problem  found  rest  book  give  good  highlights  countries,0.1779,"{'neg': 0.183, 'neu': 0.618, 'pos': 0.199, 'compound': 0.1779}",the review is positive
pos,label  memphis  tn  comes  reatards  fronted  course  wild  kid  jay  reatard  starting  eric  oblivians  label  goner  tender  age  15  jay  19  still  rocking  offending  sensibilities  community  overdriven  loud  crackling  guitars  underlaying  jays  southern  crooning  howl  energizes  amazing  hatefilled  song  writing  heard  years,0.5574,"{'neg': 0.067, 'neu': 0.793, 'pos': 0.14, 'compound': 0.5574}",the review is positive
neg,either  1  5  stars  depends  look  either  1  5  stars  depends  look  it1  star  sent  6  feet  2  od  copper  pipe0  star  accept  returns  it5  stars  figure  actually  worth  1215foot  since  take  return  figure  sell  make  4050  deal,0.5423,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.5423}",the review is positive
pos,hunting  hard  way  thia  gift  husband  loved  book  arrived  date  told  would,0.7506,"{'neg': 0.081, 'neu': 0.523, 'pos': 0.395, 'compound': 0.7506}",the review is positive
neg,disappointing  text  ever  think  plates  markedly  inferior  previous  editions  known  ahead  time  would  purchased  volume,-0.7096,"{'neg': 0.312, 'neu': 0.688, 'pos': 0.0, 'compound': -0.7096}",the review is negative
pos,homer  moses  extremely  helpful  gem  complex  subject  second  century  religious  authority  textual  use  anyone  serious  period  interelation  cultures  book  essential  complex  detailed  course  must  argue  point  buy  yes  unless  want  keep  running  back  library  write  thoroughly  disagreeing  review,0.25,"{'neg': 0.14, 'neu': 0.677, 'pos': 0.183, 'compound': 0.25}",the review is positive
neg,poor  quality  screen  arrived  cardboard  box  pretty  beat  screen  lightweight  cheesy  looking  finish  worn  across  entire  top  screen  knew  solid  brass  expected  something  least  looked  decent  distance  price  paid,0.0772,"{'neg': 0.148, 'neu': 0.669, 'pos': 0.184, 'compound': 0.0772}",the review is positive
neg,scraped  across  whole  top  purchased  screen  last  week  came  noticeable  scrapes  across  top  box  came  gigantic  plenty  packaging  material  screen  packaged  loosely  bottom  however  since  another  smaller  box  I  thinking  scraping  begin  shipping  still  deciding  whether  go  trouble  exchanging  since  another  reviewer  said  damage  would  want  risk  getting  another  damage  really  need  screen  right  damage  nice  screen,-0.8271,"{'neg': 0.205, 'neu': 0.685, 'pos': 0.11, 'compound': -0.8271}",the review is negative
pos,unknown  africa  expect  music  africa  profesionally  produced  white  world  understand  lyrics  understand  music  mixture  salsa  soukous  fado  always  african  feeling  rithem  soft  almost  borred  voice  oliver  ngoma  fits  pefectly  music  cd  recorded  france  paris  hear  professionals  working  cd  must  hot  lazy  nightgreetings  arno  amsterdam,-0.25,"{'neg': 0.054, 'neu': 0.913, 'pos': 0.033, 'compound': -0.25}",the review is negative
neg,live  expectations  ordered  shoes  replace  previous  pair  ripped  apart  sole  clark  said  make  shoe  anymore  order  amazon  sadly  second  pair  ripped  place  within  3  months  son  since  bought  similar  pair  sperry  seem  holding  much  better,0.2023,"{'neg': 0.071, 'neu': 0.812, 'pos': 0.117, 'compound': 0.2023}",the review is positive
neg,profound  truly  horrible  narrative  style  work  famous  founders  biographer  john  morse  arrogant  flippant  frequently  exaggerated  carries  tone  amateur  yankee  historian  high  passing  judgment  southern  statesman  neither  boston  harvard  graduate  perhaps  considered  penetrating  day  really  represents  nothing  opinion  today  research  thin  one  must  conclude  morse  wrote  entire  manuscript  essentially  memory  little  reference  primary  secondary  sources  expect  historians  fact  morse  wrote  piece  110  years  ago  I  would  rated  one  star,-0.6369,"{'neg': 0.108, 'neu': 0.853, 'pos': 0.039, 'compound': -0.6369}",the review is negative
pos,definitely  enjoyed  gift  6  yr  old  daughter  big  barbie  fan  well  loves  use  computer  still  enjoying  game  completed  hours  worried  first  loves  music  enjoyable  colors  vibrant  seems  user  friendly  alsomy  daughter  really  needed  help  use  started  first  time,0.9866,"{'neg': 0.034, 'neu': 0.392, 'pos': 0.574, 'compound': 0.9866}",the review is positive
pos,even  mommy  fun  one  four  year  old  daughter  loves  everything  barbie  loves  rapunzel  movie  game  tons  fun  even  42  year  old  love  playing  together  love  decorating  rooms  finding  gems  even  better  play  alone  get  time,0.9808,"{'neg': 0.035, 'neu': 0.442, 'pos': 0.522, 'compound': 0.9808}",the review is positive
pos,great  combination  creativity  adventure  4  year  old  daughter  addicted  game  plays  loves  opening  song  singing  non  stop  gets  excited  time  completes  room  finds  gem  loves  solving  maze  find  prince  stefan  problem  sings  song  much  get  head,0.9538,"{'neg': 0.091, 'neu': 0.481, 'pos': 0.429, 'compound': 0.9538}",the review is positive
pos,rapunzel  great  game  3  year  old  son  7  year  old  daughter  love  like  play  would  let  much  fun  decorating  rooms  many  choices  keep  playing  great  game  would  think  barbie  game  would  great  fun,0.9831,"{'neg': 0.0, 'neu': 0.446, 'pos': 0.554, 'compound': 0.9831}",the review is positive
neg,expected  daughter  loved  movie  5  years  old  took  2  hours  complete  game  absolutely  challenge  little  interaction  essentially  clicking  screen  make  play  7  8  scenes  programmed  games  play  nothing  figure  nothing  save  money,0.8885,"{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.8885}",the review is positive
